DEPCOM;LIBMIN;PMUN13
75101;Paris 1er Arrondissement;17022
75102;Paris 2e  Arrondissement;21741
75103;Paris 3e  Arrondissement;35666
75104;Paris 4e  Arrondissement;27335
75105;Paris 5e  Arrondissement;60273
75106;Paris 6e  Arrondissement;43479
75107;Paris 7e  Arrondissement;56325
75108;Paris 8e  Arrondissement;39175
75109;Paris 9e  Arrondissement;59427
75110;Paris 10e  Arrondissement;92494
75111;Paris 11e  Arrondissement;153461
75112;Paris 12e  Arrondissement;144719
75113;Paris 13e  Arrondissement;183713
75114;Paris 14e  Arrondissement;140799
75115;Paris 15e  Arrondissement;237120
75116;Paris 16e  Arrondissement;166552
75117;Paris 17e  Arrondissement;170077
75118;Paris 18e  Arrondissement;199519
75119;Paris 19e  Arrondissement;185953
75120;Paris 20e  Arrondissement;194771
13201;Marseille 1er Arrondissement;41027
13202;Marseille 2e  Arrondissement;25559
13203;Marseille 3e  Arrondissement;44651
13204;Marseille 4e  Arrondissement;46617
13205;Marseille 5e  Arrondissement;44261
13206;Marseille 6e  Arrondissement;43217
13207;Marseille 7e  Arrondissement;35444
13208;Marseille 8e  Arrondissement;77882
13209;Marseille 9e  Arrondissement;75329
13210;Marseille 10e  Arrondissement;50140
13211;Marseille 11e  Arrondissement;55699
13212;Marseille 12e  Arrondissement;57908
13213;Marseille 13e  Arrondissement;86826
13214;Marseille 14e  Arrondissement;61317
13215;Marseille 15e  Arrondissement;75783
13216;Marseille 16e  Arrondissement;17383
69381;Lyon 1er Arrondissement;29313
69382;Lyon 2e  Arrondissement;30804
69383;Lyon 3e  Arrondissement;98956
69384;Lyon 4e  Arrondissement;36336
69385;Lyon 5e  Arrondissement;46630
69386;Lyon 6e  Arrondissement;50364
69387;Lyon 7e  Arrondissement;77855
69388;Lyon 8e  Arrondissement;81531
69389;Lyon 9e  Arrondissement;48926
