DEPCOM;REG;ZE94;DEP;ARR;CAN;LIBMIN;PMUN13;PMUN08;PSDC99;PSDC90;PSDC82;PSDC74;PSDC67;PSDC61
97101;01;971;01;2;93;Les Abymes;57960;59270;63054;62605;56165;53605;39911;30791
97102;01;971;01;2;14;Anse-Bertrand;5114;4676;5023;4800;4570;4653;5136;5000
97103;01;971;01;1;94;Baie-Mahault;30015;29503;23389;15036;10475;8348;7398;7293
97104;01;971;01;1;21;Baillif;5479;5586;5837;6004;5612;5847;5214;5317
97105;01;971;01;1;06;Basse-Terre;11150;12173;12410;14003;13656;15457;15690;13978
97106;01;971;01;1;95;Bouillante;7446;7556;7336;6973;6649;6364;6890;6442
97107;01;971;01;1;07;Capesterre-Belle-Eau;19201;19339;19568;19012;17472;18143;17912;16085
97108;01;971;01;2;10;Capesterre-de-Marie-Galante;3309;3442;3559;3825;3983;5146;5039;5300
97109;01;971;01;1;18;Gourbeyre;7786;8143;7642;6330;6399;6813;7066;6685
97110;01;971;01;2;16;La Désirade;1510;1587;1620;1610;1602;1682;1559;1592
97111;01;971;01;2;96;Deshaies;4185;4357;4039;3476;3485;3519;3305;3271
97112;01;971;01;1;20;Grand-Bourg;5376;5642;5934;6244;6150;6611;6529;6710
97113;01;971;01;1;13;Le Gosier;26900;26895;25360;20688;15381;13906;13025;10150
97114;01;971;01;2;10;Goyave;7845;7745;5060;3652;2919;2588;3120;1929
97115;01;971;01;1;09;Lamentin;15897;15831;13434;11334;9885;9643;8919;8840
97116;01;971;01;2;12;Morne-à-l'Eau;17046;17043;17154;16042;13724;15034;14925;14591
97117;01;971;01;2;11;Le Moule;22456;21347;20827;18054;15224;16705;16111;15012
97118;01;971;01;1;97;Petit-Bourg;24039;22171;20528;14867;13078;11948;10342;9480
97119;01;971;01;2;14;Petit-Canal;8057;8177;7752;6590;5843;5826;5887;5095
97120;01;971;01;2;15;Pointe-à-Pitre;15826;17216;20948;26029;25310;23889;29522;27966
97121;01;971;01;1;18;Pointe-Noire;6594;7086;7689;7537;7698;7324;8114;7437
97122;01;971;01;2;14;Port-Louis;5751;5451;5580;5641;6653;6968;6779;5992
97124;01;971;01;1;06;Saint-Claude;10443;10380;10237;10316;8943;9745;10295;8998
97125;01;971;01;2;16;Saint-François;14780;14149;10659;7987;6972;5593;5789;6254
97126;01;971;01;2;10;Saint-Louis;2488;2788;2995;3404;3624;4155;4299;4331
97128;01;971;01;2;98;Sainte-Anne;24653;23457;20410;16934;13826;13785;13435;12481
97129;01;971;01;1;99;Sainte-Rose;20144;19587;17574;13995;12299;12050;11624;10290
97130;01;971;01;1;20;Terre-de-Bas;1093;1031;1269;1509;1427;1631;1795;1508
97131;01;971;01;1;20;Terre-de-Haut;1715;1831;1729;1527;1474;1453;1474;1264
97132;01;971;01;1;20;Trois-Rivières;8578;8841;8738;8556;8094;8869;9268;9099
97133;01;971;01;1;20;Vieux-Fort;1858;1792;1601;1478;1232;1157;1260;1209
97134;01;971;01;1;21;Vieux-Habitants;7425;7692;7611;7373;7445;7391;7680;6155
97201;02;972;02;2;null;L'Ajoupa-Bouillon;1830;1691;1761;1739;1731;1864;1855;1647
97202;02;972;02;3;null;Les Anses-d'Arlet;3929;3826;3463;3238;2811;3067;3573;3380
97203;02;972;02;2;null;Basse-Pointe;3565;3804;4183;4432;4201;4359;4562;4360
97204;02;972;02;4;null;Le Carbet;3742;3760;3316;3014;2711;3128;3364;3663
97205;02;972;02;4;null;Case-Pilote;4464;4515;4048;3650;2016;1775;1709;1712
97206;02;972;02;4;null;Le Diamant;6063;5850;3958;3343;2384;2007;2246;2225
97207;02;972;02;3;null;Ducos;17051;16433;15240;12401;9409;6930;7083;6572
97208;02;972;02;3;null;Fonds-Saint-Denis;813;873;947;977;1044;1191;1302;1531
97209;02;972;02;4;null;Fort-de-France;84174;89000;94049;100080;99844;98807;96943;84811
97210;02;972;02;1;null;Le François;18225;19189;18559;16925;14383;15036;15294;13435
97211;02;972;02;3;null;Grand'Rivière;583;751;882;956;1159;1291;1561;1483
97212;02;972;02;2;null;Gros-Morne;10012;10734;10665;10143;9276;10038;10541;10447
97213;02;972;02;2;null;Le Lamentin;40040;39410;35460;30028;26367;23145;18553;16211
97214;02;972;02;1;null;Le Lorrain;7177;7650;8234;8084;7929;8611;9172;9437
97215;02;972;02;2;null;Macouba;1090;1284;1390;1496;1695;1891;2282;2142
97216;02;972;02;2;null;Le Marigot;3481;3668;3663;3587;3498;3842;3715;3548
97217;02;972;02;2;null;Le Marin;8543;8954;7267;6338;6066;6104;6149;5697
97218;02;972;02;3;null;Le Morne-Rouge;5021;5150;5395;5278;4889;5412;5449;5169
97219;02;972;02;4;null;Le Prêcheur;1632;1682;1845;2050;2005;2284;2613;2500
97220;02;972;02;4;null;Rivière-Pilote;12359;13617;13057;12617;11249;11064;12027;11334
97221;02;972;02;4;null;Rivière-Salée;12737;12968;12276;8753;6757;7020;7227;7515
97222;02;972;02;3;null;Le Robert;23296;23903;21240;17713;15386;14505;13905;13652
97223;02;972;02;3;null;Saint-Esprit;9524;9045;8203;7767;7236;7676;8045;7240
97224;02;972;02;2;null;Saint-Joseph;16885;16966;15785;14036;11266;10950;10923;9876
97225;02;972;02;3;null;Saint-Pierre;4285;4496;4453;5007;5438;6180;6559;6347
97226;02;972;02;1;null;Sainte-Anne;4436;4833;4131;3857;3360;3001;3120;2816
97227;02;972;02;4;null;Sainte-Luce;9991;9424;7724;5881;4478;4124;3978;3653
97228;02;972;02;3;null;Sainte-Marie;17188;19056;20098;19682;18526;20128;19515;17630
97229;02;972;02;3;null;Schoelcher;19922;21737;20845;19825;18094;14749;13241;9879
97230;02;972;02;2;null;La Trinité;13253;13802;12890;11090;10087;10632;9545;8118
97231;02;972;02;1;null;Les Trois-Îlets;7698;7368;5162;4484;3246;3002;3153;3238
97232;02;972;02;2;null;Le Vauclin;9097;8947;7778;7741;6950;7711;7732;7587
97233;02;972;02;3;null;Le Morne-Vert;1877;1853;1938;1833;1751;1692;1710;1660
97234;02;972;02;3;null;Bellefontaine;1568;1454;1522;1527;1324;1616;1384;1547
97301;03;973;03;2;null;Régina;951;834;765;528;499;366;430;642
97302;03;973;03;2;null;Cayenne;54709;57643;50594;41067;38091;30461;24518;18615
97303;03;973;03;1;null;Iracoubo;1967;2055;1430;1578;938;1239;1196;975
97304;03;973;03;1;null;Kourou;25793;25934;19107;13873;7061;4720;3117;659
97305;03;973;03;2;null;Macouria;10721;8583;5050;2069;446;490;384;586
97306;03;973;03;1;null;Mana;9593;8697;5445;4945;1429;1063;875;1075
97307;03;973;03;1;null;Matoury;30244;25629;18032;10152;2532;1133;567;517
97308;03;973;03;1;null;Saint-Georges;3907;3858;2153;1523;1199;1044;817;649
97309;03;973;03;2;null;Remire-Montjoly;21638;18817;15555;11701;6773;2950;2062;1181
97310;03;973;03;2;null;Roura;3293;2709;1791;1314;943;401;393;402
97311;03;973;03;1;null;Saint-Laurent-du-Maroni;41515;35631;19211;13616;6971;5055;5031;3019
97312;03;973;03;1;null;Sinnamary;3011;3151;2783;3431;1991;2055;1913;1798
97313;03;973;03;1;null;Montsinéry-Tonnegrande;2480;2044;1037;500;333;377;333;204
97314;03;973;03;2;null;Ouanary;135;84;92;82;89;121;157;255
97352;03;973;03;1;null;Saül;150;158;160;63;67;119;90;417
97353;03;973;03;1;null;Maripasoula;10477;6556;3710;1748;1007;884;636;606
97356;03;973;03;1;null;Camopi;1707;1535;1032;748;554;399;276;295
97357;03;973;03;1;null;Grand-Santi;6343;3973;2862;1786;754;1041;723;696
97358;03;973;03;1;null;Saint-Élie;150;476;239;123;138;136;107;157
97360;03;973;03;2;null;Apatou;7649;6458;3628;2451;618;453;318;316
97361;03;973;03;2;null;Awala-Yalimapo;1350;1305;887;630;292;208;165;167
97362;03;973;03;1;null;Papaichton;6335;3136;1650;750;297;410;284;274
97401;04;974;04;2;01;Les Avirons;11203;10336;7172;5935;5150;4863;4547;4118
97402;04;974;04;3;06;Bras-Panon;12616;11404;9683;8455;6945;5941;5533;4824
97403;04;974;04;2;16;Entre-Deux;6519;6022;5170;4260;3705;3745;3723;3567
97404;04;974;04;2;16;L'Étang-Salé;13581;13367;11755;8769;7479;6610;6510;5672
97405;04;974;04;2;01;Petite-Île;11633;11692;10151;8852;7834;7961;7951;7302
97406;04;974;04;2;22;La Plaine-des-Palmistes;5741;4940;3434;2676;2020;2062;2304;1981
97407;04;974;04;3;07;Le Port;35881;38279;38412;34692;30131;25068;19768;14906
97408;04;974;04;4;02;La Possession;31439;28798;21904;15614;11002;10112;7626;6783
97409;04;974;04;4;03;Saint-André;56156;52956;43174;35049;30075;25231;22094;19255
97410;04;974;04;3;91;Saint-Benoît;36131;33802;31560;26187;23541;21658;19492;16783
97411;04;974;04;3;92;Saint-Denis;142442;144238;131557;121999;109072;103512;85444;65275
97412;04;974;04;1;93;Saint-Joseph;37550;35062;30293;25630;23307;23653;22361;20127
97413;04;974;04;2;94;Saint-Leu;33154;29925;25314;20931;18207;17396;16870;16137
97414;04;974;04;4;95;Saint-Louis;52656;50717;43519;37420;31785;30291;26663;23998
97415;04;974;04;2;96;Saint-Paul;104332;103008;87712;71669;58412;52554;43129;35528
97416;04;974;04;4;97;Saint-Pierre;81415;76247;68915;58846;50082;46060;40355;33947
97417;04;974;04;2;08;Saint-Philippe;5088;5114;4860;4005;3476;3453;3336;2938
97418;04;974;04;2;98;Sainte-Marie;32605;30815;26582;20158;17251;16566;14367;11414
97419;04;974;04;1;23;Sainte-Rose;6782;6809;6551;5761;5265;4850;4761;4614
97420;04;974;04;3;08;Sainte-Suzanne;22209;22411;18144;14695;13196;11984;11151;9794
97421;04;974;04;1;04;Salazie;7226;7294;7402;7004;6467;6462;7105;6590
97422;04;974;04;3;06;Le Tampon;76090;72026;60323;47593;40545;36107;31378;24335
97423;04;974;04;2;99;Les Trois-Bassins;7268;6994;6598;5767;5132;4864;4471;4195
97424;04;974;04;4;14;Cilaos;5386;5994;6115;5856;5735;5672;5586;5199
